price,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,year,month,price_log,sqft_living_log,sqft_lot_log,waterfront_1,view_1,view_2,view_3,view_4,condition_2,condition_3,condition_4,condition_5,floors_1.5,floors_2.0,floors_2.5,floors_3.0,floors_3.5
313000.0,-0.4411222714257526,-0.8472368038041246,-0.893443414321828,-0.18984503788255444,-0.5876100438267853,-0.6965586520316366,1955,2005,2014,5,12.653961664405365,7.201170883281678,8.976262255609193,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1153093.75,1.7597046792884148,0.4364553231718215,1.7708775842022133,0.021384016292743547,1.9481110169390472,-0.05799842269342454,1921,0,2014,5,13.957959972804606,8.202756381655638,9.11063052782717,False,False,False,False,True,False,False,False,True,False,True,False,False,False
342000.0,-0.4411222714257526,-0.20539074031615157,-0.212945843270233,0.5591085944525311,0.1493729245731365,-0.6965586520316366,1966,0,2014,5,12.742568940017076,7.565793282428515,9.388319179336001,False,False,False,False,False,False,False,True,False,False,False,False,False,False
420000.0,-0.4411222714257526,0.11553229142783497,-0.13220884331495902,-0.16794255247597695,-1.0123120934131808,1.5840135956048351,1963,0,2014,5,12.948012371209098,7.601402334583733,8.991064332188461,False,False,False,False,False,False,False,True,False,False,False,False,False,False
550000.0,0.6592912039313311,0.4364553231718215,-0.2014119861337653,0.2905247267972972,-0.8374347788776062,1.1278991460775407,1976,1992,2014,5,13.217675375388819,7.57095858316901,9.259225769705994,False,False,False,False,False,False,False,True,False,False,False,False,False,False
490000.0,-1.5415357467828363,-1.4890828672920977,-1.4240008425993427,-0.4742061196018484,-1.1622069344436734,-0.6965586520316366,1938,1994,2014,5,13.102162710901053,6.78105762593618,8.761080103868347,False,False,False,False,False,False,True,False,False,False,False,False,False,False
335000.0,-1.5415357467828363,-0.20539074031615157,-0.8819095571853602,-1.1832526810690174,-0.5751188070742442,-0.6965586520316366,1976,0,2014,5,12.721888795877375,7.208600337960199,7.848153086199526,False,False,False,False,False,False,True,False,False,False,False,False,False,False
482000.0,0.6592912039313311,0.4364553231718215,0.6866950133742484,2.0542316448761033,1.1236893912713382,-0.6965586520316366,1989,0,2014,5,13.085701467719382,7.905072849498666,9.903637541287253,False,False,False,False,False,False,True,False,False,False,True,False,False,False
452500.0,-0.4411222714257526,0.4364553231718215,0.36374701355315253,2.0542316448761033,-0.30031159851834116,1.2647334809357291,1985,0,2014,5,13.022545252064427,7.796057974316123,9.903637541287253,False,False,False,False,False,False,False,True,False,False,False,False,False,False
640000.0,0.6592912039313311,-0.20539074031615157,-0.6858339858654091,-0.5076166905610343,-0.3627677822810464,-0.6965586520316366,1945,2010,2014,5,13.369225017834633,7.327123292259293,8.732465848349879,False,False,False,False,False,False,True,False,False,True,False,False,False,False
463000.0,-0.4411222714257526,-0.5263137720601381,-0.46669070027252263,-0.299728693481655,-0.12543428398276654,-0.6965586520316366,1948,1994,2014,5,13.045484492893253,7.444833273892193,8.898502209646642,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1153093.75,0.6592912039313311,0.4364553231718215,0.9289060132400704,-0.9159681133955295,0.1243904510680544,1.6068193180811998,1909,1988,2014,5,13.957959972804606,7.979681302387741,8.294299608857235,False,False,False,False,False,False,False,False,True,True,False,False,False,False
588500.0,-0.4411222714257526,-0.5263137720601381,0.2484084421884754,1.105742658201435,0.19933787158330069,0.12444735711749318,1980,0,2014,5,13.285333904916369,7.754052639035757,9.608646582885868,False,False,False,False,False,False,True,False,False,False,False,False,False,False
365000.0,-0.4411222714257526,-1.4890828672920977,-1.1817898427335207,-0.463997334030986,-0.8998909626403114,-0.6965586520316366,1955,2009,2014,5,12.807655372286902,6.994849985833071,8.769662508112274,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1153093.75,1.7597046792884148,0.7573783549158081,0.9173721561036027,0.1011981580285767,1.373514126322159,-0.6965586520316366,1939,1969,2014,5,13.957959972804606,7.976251943745623,9.15704507491796,False,False,False,False,False,False,True,False,False,True,False,False,False,False
242500.0,-0.4411222714257526,-0.8472368038041246,-1.0549174142323758,0.145745585974158,-0.7624873583623599,-0.6965586520316366,1965,0,2014,5,12.398761113062513,7.0909098220799835,9.18204377282107,False,False,False,False,False,False,False,True,False,False,False,False,False,False
419000.0,-0.4411222714257526,-0.8472368038041246,-0.6281647001830706,-0.41480954900774,-0.30031159851834116,-0.6965586520316366,1956,0,2014,5,12.945628585536271,7.359467638255621,8.81001204797317,False,False,False,False,False,False,False,True,False,False,False,False,False,False
367500.0,0.6592912039313311,1.0783013866597946,1.148049298832957,-0.3162483646781414,1.62333886137298,-0.6965586520316366,1997,0,2014,5,12.814481318719762,8.042699496897637,8.886270902072013,False,False,False,False,False,False,True,False,False,False,True,False,False,False
